,timeline,news,Emotions,fear_percentage,anger_percentage,sadness_percentage,joy_percentage,surprise_percentage,fear,anger,sadness,joy,surprise
2020-01-27 00:00:00,2020-01-27 00:00:00-2020-02-02 00:00:00,"['First feared coronavirus case in Bengaluru tests negative', 'Coronavirus outbreak: 1;000 people screened in 7 days at Kempegowda International Airport', 'Bengaluru: People returning from China; neighbouring places throng hospital for coronavirus test', 'Bengaluru: Two more suspected novel coronavirus cases in hospital', 'Coronavirus scare: Shift us to private hospitals or let us go home; say patients', 'Bengaluru: Suspected coronavirus cases to be treated at four private hospitals too', 'Coronavirus scare: Testing time for family after neighbours panic', 'Coronavirus scare: Masks sell like hot cakes in Bengaluru']","[1, 1, 1, 1, 1, 1, 1, 3]",87.5,0.0,0.0,0.0,0.0,7,0,0,0,0
2020-02-03 00:00:00,2020-02-03 00:00:00-2020-02-03 00:00:00,['Coronavirus outbreak: 9 samples sent for test'],[1],100.0,0.0,0.0,0.0,0.0,1,0,0,0,0
2020-02-24 00:00:00,2020-02-24 00:00:00-2020-02-27 00:00:00,"[""Karnataka: Foreign fund row; Manipal lab can't test coronavirus"", 'Coronavirus hurts currency trade in Bengaluru']","[1, 0]",50.0,50.0,0.0,0.0,0.0,1,1,0,0,0
2020-03-02 00:00:00,2020-03-02 00:00:00-2020-03-08 00:00:00,"['Bengaluru: Covid-19 outbreak may hit KIA global traffic', 'Coronavirus scare in Karnataka puts 71 under watch; schools on alert', 'Coronavirus scare: Karnataka ready with over 2;300 beds in isolation wards; says health minister B Sriramulu', 'Coronavirus in Bengaluru: Office parks; tech companies on alert', 'Coronavirus scare in Bengaluru: Doctors get flood of test requests', 'Covid-19: Five men in isolation wards; test results of 4 awaited', 'chinese new year saved indian drug industry from covid 19 after effects', 'Karnataka: Two suspected Covid-19 cases']","[1, 1, 2, 1, 1, 1, 2, 1]",75.0,0.0,0.0,25.0,0.0,6,0,0,2,0
2020-03-09 00:00:00,2020-03-09 00:00:00-2020-03-15 00:00:00,"['Karnataka declares holiday for LKG; UKG over Covid-19 scare', ""Karnataka's 1st Covid-19 case; Bengaluru techie tests positive"", 'Coronavirus scare in Bengaluru: Holiday declared for Class 1 to 5', 'Covid-19 scare in Bengaluru: Health department holds meetings with 25 IT/BT companies to allay fears', 'With coronavirus cases rising; Karnataka to upgrade three more labs', 'Coronavirus scare in Bengaluru: Health dept seeks details of IT/BT staff with travel history to affected nations', 'Bengaluru: Blood donation drives take a hit amid coronavirus fears', 'Coronavirus in Bengaluru: Summer camp organisers wait & watch; parents wonder how to keep kids busy', 'Coping with Covid-19: Netizens churn out memes; TikTok videos', 'coronavirus scare bengaluru reports three fresh virus cases infected techies wife daughter test positive', 'Covid-19 scare in Bengaluru: Dell techie quarantined; others told to work from home', 'DK Shivakumar takes a jibe at Centre over coronavirus caller tune message', ""Coronavirus outbreak: Without testing negative; Karnataka students can't leave Italy"", 'Coronavirus scare in Bengaluru: Schools mulling holidays; home exams for higher grades', 'Despite Coronavirus scare; these music groups went ahead with shows in Bengaluru', 'Karnataka has tested highest number of coronavirus suspected cases', 'Agra Covid-19 infected woman never entered Bengaluru city; says Karnataka govt', 'Covid-19 in Karnataka: 1;308 people under home isolation asked to provide health updates', 'Coronavirus scare: Karnataka govt may curtail budget session']","[0, 2, 2, 1, 2, 1, 1, 0, 0, 1, 1, 0, 1, 1, 2, 1, 1, 0, 1]",52.63157894736842,26.31578947368421,0.0,21.052631578947366,0.0,10,5,0,4,0
2020-03-16 00:00:00,2020-03-16 00:00:00-2020-03-22 00:00:00,"['The audience forgot about coronavirus for some time during my recent concert in Bengaluru: Mir Mukhtiyar Ali', 'Coronavirus: After restricting mass gatherings; Karnataka CM attends wedding which had 2;000 guests', 'Karnataka: Notified Disaster stretches funds for coronavirus; drought; flood relief', 'Coronavirus scare in Karnataka: 12-hour ordeal for 60 passengers from Paris', '#Covid19: Authorities riddled with a new issue - getting rid of used masks', ""Dubai-returned Bengaluru woman is Karnataka's 11th coronavirus case"", ""Coronavirus scare: 'Centre to airlift 400 Kannadigas from Italy soon'"", ""Now; it is a total lockdown at Bengaluru's apartment complexes"", 'Karnataka tourism tipped to collapse amid COVID-19 scare', 'Choreographer posts Covid-19 status on FB', 'Coronavirus in Bengaluru: Chickpet textile shops; jewellers head for shut down', 'coronavirus in karnataka dubai returned kodagu man is states 15th case', 'Coronavirus in Karnataka: When IT staff can work from home; why not us; ask senior MLAs', 'Next fortnight to contain spread of coronavirus in Karnataka; say experts', 'dont expect five star facilities in public quarantine government', 'Covid-19 pandemic: Karnataka govt to offer dole to labourers']","[0, 0, 1, 1, 0, 1, 1, 0, 0, 2, 0, 1, 0, 1, 2, 0]",37.5,50.0,0.0,12.5,0.0,6,8,0,2,0
2020-03-23 00:00:00,2020-03-23 00:00:00-2020-03-29 00:00:00,"['Coronavirus in Karnataka: Six positive cases reported; highest in a day', ""Victoria's Covid-19 makeover a logistical challenge"", 'Karnataka intensifies lockdown in 9 districts; 6 test positive; total 26', 'Karnataka: Burglars smell chance in lockdown; target school and college in a week', 'Karnataka: Agriculture product sales plunge; farmers demand MSP amid Covid-19 scare', 'Covid-19: She tweaks popular logos to promote social distancing', 'Coronavirus scare in Bengaluru: Online companies face disruption in delivery of essential goods', ""Bengaluru scientist's Covid-19 device to be tested in US; Mexico"", 'Karnataka: Session cut short amid Covid-19 scare; budget passed in absence of opposition', 'Bengaluru: Friends trade blows over coronavirus prank', 'Artists across the globe raise awareness about COVID-19', 'Karnataka seeks to import 1 lakh Covid-19 rapid testing kits from China', 'Bengaluru: Coronavirus victim was made to change three hospitals for ventilator', 'Worried over safety; pvt hosps reluctant to admit Covid-19 patients', ""Bengaluru citizens join government as 'Corona warriors' to fight the pandemic"", 'coronavirus scare cabbie flees bengaluru after he finds rider tested positive']","[2, 0, 2, 1, 0, 2, 1, 1, 0, 0, 2, 1, 1, 1, 1, 1]",50.0,25.0,0.0,25.0,0.0,8,4,0,4,0
2020-03-31 00:00:00,2020-03-31 00:00:00-2020-04-05 00:00:00,"['ambulance topples over man fleeing bluru after lockdown wife survives', 'Covid-19 in Karnataka: Quarantined? Upload selfie every hour', 'Increased water use during lockdown; so reduce; reuse and recycle', 'Amid corona constraints; Bengaluru couple hosts virtual naming ceremony for twins', 'Covid-19 fallout: Karnataka misses revenue target by Rs 4;536 crore', ""B'luru cops seize 1.9k vehicles in one day for lockdown violation"", ""Karnataka CM BS Yediyurappa donates one year's pay for Covid-19 crisis"", 'Private Covid-19 testing labs to double as fever clinics: Karnataka govt', 'Asha worker on Covid-19 duty heckled & attacked; 5 arrested', 'Edtech space sees massive growth amid lockdown', 'Bengaluru: SP turns truck driver to inspect cops at Covid-19 checkposts', 'Home quarantine for last overseas traveller ends on Monday', ""Covid-19 doctors seek lodging; don't want to put family at risk"", 'Karnataka: Want 100% lockdown in state for next 10 days; says CM BS Yediyurappa', 'Coronavirus in Karnataka: Biggest single-day jump as 16 test positive', 'coronavirus in bengaluru latest news live updates on bengaluru corona cases deaths 05 april 2020', ""Two more test positive for Covid-19 in Bengaluru; Karnataka's total at 146"", 'Elderly couple from Bengaluru test positive for COVID-19; total in Karnataka now 146']","[1, 1, 0, 2, 2, 1, 2, 2, 0, 2, 1, 1, 1, 0, 2, 1, 1, 1]",50.0,16.666666666666664,0.0,33.33333333333333,0.0,9,3,0,6,0
2020-04-06 00:00:00,2020-04-06 00:00:00-2020-04-11 00:00:00,"['Christians ring in Holy Week with online events amid corona scare', 'coronavirus in bengaluru latest news updates on bengaluru corona cases deaths 06 april 2020', ""Covid-19 in Karnataka: Man escapes isolation; found at kin's place"", ""Migrants' role in Bengaluru's development comes to fore; thanks to Covid-19"", ""Karnataka's Covid-19 fight is on right track; says CM BS Yediyurappa"", 'DIY activities help Bengalureans beat lockdown boredom', 'Continue lockdown in hotspots till April 30: Docs', 'Karnataka: Continue lockdown in hotspots till April 30; say doctors', 'Bengaluru: Covid-19 fears stoking OCD relapse; say doctors', 'Bengaluru: Coronavirus outbreak compels hospitals to postpone over 70% of surgeries', 'Domestic violence calls up from 10 to 25 a day during lockdown in Bengaluru', 'Karnataka favours total lockdown across all districts till April 30', '#Compassionunderlockdown: City restaurateurs send meals the needy', 'Home bakers; small outlets whip up Easter treats in lockdown']","[1, 1, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 4, 0]",28.57142857142857,57.14285714285714,7.142857142857142,7.142857142857142,0.0,4,8,1,1,0
2020-04-13 00:00:00,2020-04-13 00:00:00-2020-04-19 00:00:00,"[""Felines susceptible to Coronavirus: Bengaluru's animal experts recommend safety protocol for pets; too"", ""At 2.6%; Karnataka's Covid-19 fatality rate lower than national average"", 'Quarantined auto driver plays truant; leaves officials jittery', ""As lockdown extension looms large; food insecurity haunts Bengaluru's poor"", '19 Covid-19 patients in Karnataka are below 14 years', 'Bengaluru: Virus fear keeps haemophiliacs away from Victoria Hospital', 'Karnataka: Stricter lockdown in week ahead; says CM BS Yediyurappa', ""Bengaluru: 'Dad dead' lie got him past cops; but not coronavirus"", 'Coronavirus: Mysuru district pips Bengaluru; logs most active cases; Bagalkot cop tests positive', ""City corporates ensure employees' well-being during lockdown with fun activities"", '#Coronaconcern: Fear of transmission has pet parents abandoning pets', 'Bengaluru: Turned away by 2 hospitals on Covid-19 fear; woman gives birth in third']","[1, 1, 1, 4, 1, 1, 0, 4, 2, 2, 1, 1]",58.333333333333336,8.333333333333332,16.666666666666664,16.666666666666664,0.0,7,1,2,2,0
