,timeline,news,Emotions,fear_percentage,anger_percentage,sadness_percentage,joy_percentage,surprise_percentage,fear,anger,sadness,joy,surprise
2020-01-01 00:00:00,2020-01-01 00:00:00-2020-01-01 00:00:00,['Virus in air sends kids to ICUs with respiratory infections'],[1],100.0,0.0,0.0,0.0,0.0,1,0,0,0,0
2020-01-19 00:00:00,2020-01-19 00:00:00-2020-01-19 00:00:00,['Coronavirus: Govt steps up screening at state airports'],[1],100.0,0.0,0.0,0.0,0.0,1,0,0,0,0
2020-01-26 00:00:00,2020-01-26 00:00:00-2020-01-26 00:00:00,"['Coronavirus outbreak: Lockdown in Wuhan University worries parents in Chennai', 'Coronavirus: 10-bed facility ready at GH; airlines; airport step up safety measures']","[1, 2]",50.0,0.0,0.0,50.0,0.0,1,0,0,1,0
2020-01-27 00:00:00,2020-01-27 00:00:00-2020-02-02 00:00:00,"['Coronavirus: 1;500 from Hong Kong screened at Chennai airport', 'Coronavirus pushes up demand for N95 face masks from India', 'Coronavirus: No facility at Chennai airport to handle infected flyers', ""Tamil Nadu: 'Avoiding ice creams may not save you from coronavirus; but washing hands will'"", 'Coronavirus outbreak: 2 in isolation; 300 quarantined at home', 'Tamil Nadu puts interstate borders on vigil as precaution against coronavirus']","[1, 0, 1, 2, 1, 1]",66.66666666666666,16.666666666666664,0.0,16.666666666666664,0.0,4,1,0,1,0
2020-02-03 00:00:00,2020-02-03 00:00:00-2020-02-07 00:00:00,"['Coronavirus outbreak: Eight Chinese nationals admitted to isolation ward at Chennai government hospital', ""Don't panic on novel coronavirus: Health minister C Vijaya Baskar"", 'Coronavirus: Special ward at Vellore Government Medical College Hospital', 'Chennai: Eight Chinese flyers test negative for coronavirus', 'Coronavirus outbreak: 7;000 screened at Chennai airport; samples tested so far negative', 'Coronavirus outbreak: Aerobridge assigned for China passengers', ""As 'remedies' for novel coronavirus emerge; officials call for caution"", 'Coronavirus scare: Washing hands is essential; but where is the soap for it?', 'Chennai: Europe; Middle East more favoured as fear of coronavirus makes southeast Asia unpopular', 'Coronavirus outbreak: Plan to speed up security check at Chennai airport hit', ""Coronavirus scare in Tamil Nadu: No clear instructions from government; say doctors' bodies"", 'Tamil Nadu: Private hospitals barred from treating patients with coronavirus symptoms']","[1, 0, 1, 1, 1, 1, 2, 0, 0, 1, 1, 1]",66.66666666666666,25.0,0.0,8.333333333333332,0.0,8,3,0,1,0
2020-02-10 00:00:00,2020-02-10 00:00:00-2020-02-10 00:00:00,['Promises of coronavirus cure give Tamil Nadu headache'],[2],0.0,0.0,0.0,100.0,0.0,0,0,0,1,0
2020-02-18 00:00:00,2020-02-18 00:00:00-2020-02-21 00:00:00,"['No drug shortage in Tamil Nadu due to COVID-19 scare', 'Chennai: 2 Chinese test negative for COVID-19', 'Ship with Chinese crew kept off Chennai port for a day over coronavirus scare']","[1, 1, 1]",100.0,0.0,0.0,0.0,0.0,3,0,0,0,0
2020-02-29 00:00:00,2020-02-29 00:00:00-2020-02-29 00:00:00,['Coronavirus proves a body blow for inbound tourism in Tamil Nadu'],[2],0.0,0.0,0.0,100.0,0.0,0,0,0,1,0
2020-03-04 00:00:00,2020-03-04 00:00:00-2020-03-08 00:00:00,"['Covid: Frantic citizens call corpn; seek advice', 'Coronavirus in Tamil Nadu: Four suspected cases reported', 'Advisory issued on Covid 19', 'Fighting Covid-19: Is Tamil Nadu prepared?', 'Covid-19 threat: Domestic; international check-ins drop', 'coronavirus tamil nadu man who came from oman is states first corona positive case']","[1, 1, 2, 2, 1, 2]",50.0,0.0,0.0,50.0,0.0,3,0,0,3,0
2020-03-09 00:00:00,2020-03-09 00:00:00-2020-03-15 00:00:00,"['Southern railway wakes up to coronavirus threat', 'Chennai: Business events take a back seat as Covid-19 fears intensify', 'Covid-19 outbreak: Passenger screening porous at Chennai airport', 'Covid-19 scare in Chennai: Thermal sensors; namaste greet employees at offices', ""Coronavirus scare: It's better to be scared than sorry"", ""Coronavirus scare in Chennai: Faithful will greet with 'namaste'; won't kiss Cross on Good Friday"", 'Covid-19 scare in Chennai: Korean tenants face ire of landlords; told to vacate houses', ""PIL against 'repulsive' corona caller tune"", 'Coronavirus: Tamil Nadu students take Italian university classes online', ""Coronavirus scare: Don't panic; but take precautions; says Chennai Corporation"", 'Covid-19 scare in Chennai: Footfalls down at city gyms; swimming pools', 'Coronavirus outbreak: Italy-returned man triggers alarm in Chennai', 'Coronavirus scare: Tamil Nadu CM Edappadi K Palaniswami chairs meet; but what was on the table?', 'Greater Chennai Corporation sprays disinfectant in bid to battle coronavirus', 'Amidst coronavirus outbreak; they chose to ride out the crisis in Italy than head home', ""IIT-Madras scholar's coronavirus prank sends passengers and officials into a tizzy"", 'Other metros proactive; Chennai streets show no signs of Covid-19 panic', 'patronage of trains dips as neighbouring states clamp restrictions to prevent spread of covid 19']","[1, 1, 1, 1, 1, 3, 0, 0, 2, 1, 1, 1, 1, 1, 1, 0, 0, 0]",61.111111111111114,27.77777777777778,0.0,5.555555555555555,0.0,11,5,0,1,0
2020-03-16 00:00:00,2020-03-16 00:00:00-2020-03-22 00:00:00,"['Coronavirus in Chennai: OMR techies prepare to work from home', 'Coronavirus in Tamil Nadu: Engineering colleges tell students to go home', 'Coronavirus outbreak: Holiday for Classes till V; no theatre in 16 Tamil Nadu districts', 'Covid-19 scare: Tamil Nadu boards prevention train; government orders shutdown', '100-plus flights cancelled; airfares for April nosedive amid coronavirus scare in Chennai', 'Coronavirus scare in Chennai: Universities suspend classes; reschedule exams', 'Salons in the state mask up to combat deadly #COVID19', 'Chennai engineering college hostels may turn quarantine centres for coronavirus suspects', 'Covid-19 scare: Bars; restaurants to remain closed until March 31', ""Uttar Pradesh man who came by train is state's second coronavirus case"", ""Covid-19 outbreak in Chennai: 'Going door-to-door to make sure all is well'"", 'Coronavirus in Tamil Nadu: Temples cancel festivals; churches call off mass till March 31', 'Covid-19 in Chennai: Air crew worried over lack of screening', 'Chennai: Those near Covid-19 patient being tracked through phone numbers', 'Jipmer to treat its students with Covid-19 symptoms', 'Coronavirus in Tamil Nadu: How the vulnerable are under watch', 'Covid-19 scare in Tamil Nadu: Social welfare department to send aid to the elderly', 'Shelter homes turn away the homeless in Chennai citing coronavirus contraction fears', ""Covid-19 in Tamil Nadu: It's their call to quell panic from going viral"", 'Coronavirus scare in Chennai: Flyers to be sent home in minibuses', 'Covid-19: Soon; private labs to be allowed to test samples', 'Three new cases in Tamil Nadu; total Covid-19 patients rise to six']","[0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 2, 0, 1, 1, 1, 1, 4, 1, 1, 1, 2, 1]",54.54545454545454,31.818181818181817,4.545454545454546,9.090909090909092,0.0,12,7,1,2,0
2020-03-23 00:00:00,2020-03-23 00:00:00-2020-03-29 00:00:00,"['Chennai slips into quarantine mode', 'Corona crooners in Chennai keep the cheer up on social media', '#CoronaLockdown: Home workouts and visits to farm keep Vijay Shankar occupied', 'Covid-19 cases rise to 12 in Tamil Nadu; first community transmission suspected', 'Coronavirus lockdown to delay Chennai metro project', 'Coronavirus scare: Chennai hospital to deploy robots to deliver food; medicines in wards', 'Coronavirus scare in Tamil Nadu: Crowd before the curfew', 'Covid-19 forces families indoors; brings board games back on the table', ""Covid-19 lockdown: No train home; migrant workers crammed in Chennai's halls"", '#CoronaImpact: A summer sans camps in Chennai', 'Treat your pets like family during lockdown; say experts', 'Air force; army on standby to help Tamil Nadu government battle coronavirus', 'No N95 masks for medicos in non-coronavirus blocks in Chennai', 'Eight more test positive for Covid-19 in Tamil Nadu; total cases up to 26', ""Here is how Chennai's college students are dealing with lockdown"", ""Stalin endorses PM's message on lockdown word for word; urges people to follow it"", 'Covid-19 stalls Rs 17;000 crore road projects in Tamil Nadu', 'Covid-19: 9 new cases in Tamil Nadu; 3 have no travel history; 500 doctors appointed', 'The art and science of kolam keep youngsters busy in the lockdown period', 'Government plans containment zones as Tamil Nadu in 2nd stage of Covid-19 transmission', 'Chennai: Want me to come with you; cop with coronavirus mask asks motorists']","[1, 2, 0, 1, 1, 1, 1, 0, 0, 2, 0, 1, 1, 1, 0, 0, 2, 2, 0, 1, 1]",47.61904761904761,33.33333333333333,0.0,19.047619047619047,0.0,10,7,0,4,0
2020-03-31 00:00:00,2020-03-31 00:00:00-2020-04-05 00:00:00,"['Tamil Nadu yet to mobilise 1 lakh idle doctors to take on Covid-19 crisis', 'Covid-19: Longer lockdown can contain virus; research finds', 'Store at Chennai mall in Covid eye', ""Tamil Nadu: House surgeons want 'special mention' about handling Covid-19 cases"", 'Tamil Nadu: Ex-rally champion goes the extra mile to fight Covid-19', 'Down and out in the time of lockdown', 'Coronavirus: 100 more positive cases take Tablighi Jamaat cluster count in Tamil Nadu to 364', 'Asymptomatic Tablighi Jamaat cluster spurs research on coronavirus strain in Tamil Nadu', 'Two die in 1 day in Tamil Nadu; coronavirus has no religion or caste; says CM EPS', 'Chennai: Out on Covid-19 bail; bike thief tries to steal another; held', ""Tamil Nadu's Covid-19 death toll rises to four"", 'coronavirus in chennai latest news updates on chennai corona cases deaths 05 april 2020', ""Tamil Nadu:'We are ready for rapid Covid-19 tests; numbers will soon be down'"", '112 private hospitals across Tamil Nadu to treat Covid-19 patients', '60-year-old Covid-19 positive patient dies in Chennai; Tamil Nadu toll rises to five']","[4, 2, 2, 2, 0, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1]",53.333333333333336,6.666666666666667,6.666666666666667,33.33333333333333,0.0,8,1,1,5,0
2020-04-06 00:00:00,2020-04-06 00:00:00-2020-04-12 00:00:00,"['Coronavirus: Tamil Nadu toll hits 5; positive count 571 with 76 new cases', 'Tamil Nadu government allocates Rs 22.57 crore to set up quarantine centres', 'coronavirus in chennai latest news updates on chennai corona cases deaths 6 april 2020', 'Chennai: 3 Bangladeshi preachers defy lockdown rules; arrested', 'Chennai: Airport retail; duty-free shops to remain shut after lockdown', 'People should be wary even after lockdown: Expert', 'Chennai: Army; air force personnel defend the poor & needy from Covid double blow', 'SHRC seeks report on police excess during lockdown', ""Chennai students school people on Covid-19 don'ts"", 'Chennai: Beware! Covid-19 churn throws up phishing racket', 'Four Chennai doctors now have Covid-19; hospital cordoned off']","[2, 2, 1, 0, 0, 1, 4, 0, 0, 0, 1]",27.27272727272727,45.45454545454545,9.090909090909092,18.181818181818183,0.0,3,5,1,2,0
2020-04-13 00:00:00,2020-04-13 00:00:00-2020-04-19 00:00:00,"['This Chennai photog is capturing #CoronaCrisis stories with toys', 'Coronavirus positive cases cross 1;000; Tamil Nadu to test all with flu-like symptom', 'Tamil Nadu hopes extended lockdown will have some relaxations', 'Runners pace themselves for some lockdown workout', ""Want to locate a containment zone? Tap Greater Chennai Corporation's corona app"", 'Chennai lockdown: Now; connect to god at a click as pujas go online', 'Oppn demands Rs 1cr relief to kin of Covid-19 dead', 'Chinese denied roof spends 10 days in Tamil Nadu cave; tests Covid-19 negative', 'CM relief fund gets Rs 135 crore for Covid fight', 'Chennai: A sanitizer to kill genetic material of coronavirus', '25 new Covid-19 positives in Tamil Nadu; CM Edappadi K Palaniswami says fresh infections may end in three days', 'Tamil Nadu suggests Ayush remedies; yoga to take on coronavirus', ""TN's rural economy could hold answer to post-Covid blues"", ""TN's flower growers wilt under lockdown impact"", 'Coronavirus in Tamil Nadu: Cured? Please stay at home', ""Panic in Madras high court as coronavirus 'positive' staffer mingled in court"", ""Chennai: Parents start Facebook page to auction kid's lockdown art"", ""Two Madras HC lawyers donate Re 1 for lockdown relief; bar council to give them 'certificate of appreciation'""]","[2, 1, 2, 1, 2, 0, 4, 0, 2, 1, 2, 1, 0, 0, 2, 1, 2, 2]",27.77777777777778,22.22222222222222,5.555555555555555,44.44444444444444,0.0,5,4,1,8,0
2020-04-20 00:00:00,2020-04-20 00:00:00-2020-04-26 00:00:00,"[""King Institute takes the lead in TN's fight against Covid-19"", 'Local bodies a wasted force in grassroots fight against Covid-19', 'Tamil Nadu: 4.85 lakh of fishing community get Rs 1;000 Covid-19 aid', 'Ill-fitting goggles may be letting coronavirus in: Doctors', 'No relaxation; lockdown to continue till May 3: Tamil Nadu government', 'Tamil Nadu coronavirus toll now 17; 43 new cases', 'Tamil Nadu: Journalists; police brace for personal battle with Covid-19', 'Why Chennai remains a Covid-19 hotspot', 'Many ignore Covid-19 curbs; Chennai cops clueless', 'New Tamil Nadu cluster: 26 TV channel staff test Covid-19 +ve', 'Tamil Nadu: 80-plus & leading from the front in Covid-19 fight', '#BehindTheLockdown: Chennai Corp is fighting COVID-19; one tweet at a time', 'Tamil Nadu: Rs 50 lakh; job for kin if frontline staff die of Covid', ""PIL for disclosure of Covid patients' identity in Madras HC dismissed"", 'Rashes on feet could be sign of Covid-19', 'Time to look beyond lockdown; resume business: Industry to Tamil Nadu government', 'Ingredients in kabasura kudineer can fight Covid-19; say researchers in Chennai', 'Two deaths take Tamil Nadu toll to 20; Covid-19 positive count hits 1;683', 'Chennai: Pallavaram municipality careless about disposal of waste from Covid-19 patients', 'E-Akshaya Tritiya as jewellers sell gold online amid lockdown', 'High Covid-19 positive cases brings central team to Chennai', 'Who ordered the four-day complete lockdown and why?', 'Tamil Nadu: Citizens push norms aside; rub shoulders to shop for lockdown', 'Fewer Covid-19 cases in hotter regions']","[0, 0, 2, 1, 0, 2, 0, 2, 2, 2, 0, 0, 4, 0, 1, 2, 0, 2, 0, 2, 2, 0, 0, 0]",8.333333333333332,50.0,4.166666666666666,37.5,0.0,2,12,1,9,0
