,timeline,news,Emotions,fear_percentage,anger_percentage,sadness_percentage,joy_percentage,surprise_percentage,fear,anger,sadness,joy,surprise
2020-01-29 00:00:00,2020-01-29 00:00:00-2020-01-31 00:00:00,"['Coronavirus outbreak: Three still quarantined; doctors wait for test results', 'Three isolated at Ram Manohar Lohia test negative for coronavirus']","[1, 1]",100.0,0.0,0.0,0.0,0.0,2,0,0,0,0
2020-02-05 00:00:00,2020-02-05 00:00:00-2020-02-08 00:00:00,"['Delhi: Five test negative for coronavirus', 'Coronavirus scare: Five more with travel history to China admitted at RML Hospital', 'Coronavirus outbreak: 2;782 from Delhi who visited China after January 15 identified', 'Coronavirus scare: Efforts on to trace all recent visitors to China']","[1, 1, 1, 1]",100.0,0.0,0.0,0.0,0.0,4,0,0,0,0
2020-02-16 00:00:00,2020-02-16 00:00:00-2020-02-16 00:00:00,['Delhi: 17 with coronavirus symptoms hospitalised'],[1],100.0,0.0,0.0,0.0,0.0,1,0,0,0,0
2020-02-18 00:00:00,2020-02-18 00:00:00-2020-02-22 00:00:00,"['Coronavirus: 406 from Wuhan start leaving ITBP facility in Delhi; but to stay isolated at home', 'Coronavirus fears: Delhi govt wants passenger vehicles sanitised']","[1, 1]",100.0,0.0,0.0,0.0,0.0,2,0,0,0,0
2020-02-24 00:00:00,2020-02-24 00:00:00-2020-02-24 00:00:00,['Masks in short supply in Delhi: Blame it on coronavirus'],[1],100.0,0.0,0.0,0.0,0.0,1,0,0,0,0
2020-03-02 00:00:00,2020-03-02 00:00:00-2020-03-08 00:00:00,"['#CoronaOutbreak: Virus outbreak alters honeymoon plans for couples', 'Coronavirus in Delhi: Five children among 112 isolated at ITBP facility', 'Coronavirus: Schools in Delhi issue advisories to parents', 'Airlines told to take precautions at Delhi airport on coronavirus', 'Coronavirus in Delhi: Price of masks jacked up in city', 'coronavirus scare why healthcare staff cant mask their anxiety', 'Coronavirus scare in Delhi: DMRC to do its bit', 'Covid-19 cases in Delhi: CM Arvind Kejriwal sets up task force', 'coronavirus outbreak paytm employee in gurugram tests positive', 'Covid-19 cases in Delhi: NDMC hospitals ready to deal with crisis', 'Coronavirus: Why Wuhan evacuees at Delhi camp are a nervous lot', 'Corporations respond to corona crisis: Isolation wards at Delhi hospitals; no biometrics', ""Coronavirus: BJP's Bagga wants breath analyser test to be suspended"", 'No rang barse this year?: Coronavirus scare results in cancelled Holi events', 'Senior citizens at greater risk of coronavirus infection; must take these preventive measures', 'Covid-19 precautionary measures at Delhi airport: Infrared temperature guns to screen flyers', 'Coronavirus scare in Delhi: All primary schools to remain shut till March 31', 'Foreign travel plans trip on coronavirus fears', 'Coronavirus impact in Delhi: Virus pours cold water on Holi celebrations', 'Coronavirus outbreak: WHO urges industry to raise supply of masks', 'Covid-19 measures in Delhi: No biometrics for 70;000 government staff', 'Coronavirus outbreak: Event industry; eateries face the music', 'Coronavirus scare: Eating out is out for many; hygiene top of the mind for Delhi restaurants', 'Coronavirus scare: Delhi Metro riders want to stay far from madding crowd', ""As coronanxiety spreads; it's goodbye hands; hello elbows"", 'BJP; Congress in a war of words over handling of Covid-19 crisis', 'Railways ups its guards after 2 suspected Covid-19 cases', ""Covid-19: Why it isn't fit to hit the gym right now"", 'Covid-19 and your pets: No need to panic - yet', 'Coronavirus scare: SDMC to roll out attendance app', 'Coronavirus scare: SDMC to get 30;000 masks for its health staff', 'PM: Identify more places for quarantine']","[0, 1, 1, 1, 0, 1, 1, 0, 2, 2, 1, 1, 0, 4, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 1, 1, 2, 1]",50.0,34.375,3.125,12.5,0.0,16,11,1,4,0
2020-03-09 00:00:00,2020-03-09 00:00:00-2020-03-15 00:00:00,"['Ban travel to nations hit by coronavirus: Delhi CM Arvind Kejriwal', 'Coronavirus treatment in India: AIIMS to be nodal centre', 'Delhi: In times of coronavirus; commuters and drivers wary of each other', 'Coronavirus in Delhi: SDMC to separate cold; cough patients', 'Coronavirus in Delhi: Ensure forms are filled on flight; airlines told', 'Coronavirus scare in Delhi: Fourth patient came in contact with Paytm employee', 'Coronavirus scare in Delhi: Chinese goods untouchable; electronics hub in Chandni Chowk reports 75% dip in sales', 'Coronavirus outbreak: Cleaning of metro and buses stepped up; Delhi government says fully equipped to tackle crisis', 'Ebola drug best pick for treating coronavirus?', 'Coronavirus scare: Markets slump as Delhi misses Holi cheer', 'How coronavirus attacks? Study of 56;000 patients reveals it stage by stage', 'NGT suspends biometric attendance for employees amid coronavirus scare in Delhi', 'Teach students social distancing to fight corona; advise global bodies', 'Teach students social distancing to fight coronavirus; advise global bodies', 'HC to govts: Are steps in place to deal with corona?', 'Do fever and cough mean you need Covid-19 test?', ""Coronavirus scare: 'They know it's not safe; but staying off work is a luxury they can't afford'"", 'Coronavirus scare in Delhi: No link with chicken; but sales see massive dip', 'Delhi: Autos; buses from outside to be disinfected to prevent spread of coronavirus', 'Delhi: 500 contacts of all five coronavirus patients under surveillance', 'despite coronavirus the show must go on digitally', 'Coronavirus in Delhi: Scared; patients give hospitals a miss', 'Diabetics need to be extra alert of coronavirus', ""Coronavirus hits travel plans in Delhi; leaving backpackers' haven in despair"", 'Coronavirus outbreak: Get in touch with Indians stuck in Iran; Delhi high court tells Centre', 'Coronavirus scare: Delhi hospitals saving medical fraternity from exposure', 'Coronavirus in Delhi: SDMC turns a floor of Kalkaji hospital into isolation ward', 'Coronavirus scare in Delhi: Ashoka University extends break; AUD to decide today', ""Men harass DU student; call her 'coronavirus'"", 'Fewer cases; but India becomes 5th country to isolate corona virus', 'Coronavirus scare in Delhi: Tihar Jail quarantines new inmates for three days before allotting cells', 'Covid-19 scare in Delhi: Corporations to disinfect open gyms; parks; zonal offices', 'Coronavirus scare: For now; Delhi government bans all sports events', ""Covid-19 scare: When social distancing isn't a bad word; but a vital health ploy"", 'Coronavirus in Delhi: As screens go dark; cinema halls stare at loss of crores', 'Coronavirus outbreak: DMRC drive focuses on touch points and high-footfall stations', 'Coronavirus: Silent cinemas take a toll as malls stick to hygiene drill in Delhi', 'Covid-19 in Delhi: Rumours galore; experts urge people not to panic; stay alert', 'Covid-19: HIV drugs can be used in severe cases; says ICMR', 'Coronavirus: Create quarantine zone in JNU in case of emergencies; say students & teachers', ""Cremation of Delhi's first coronavirus victim a challenge too"", 'Delhi authorities get power to seal areas over Covid-19', 'Coronavirus scare: Delhi University teachers want to work from home']","[1, 1, 1, 0, 0, 1, 0, 2, 1, 1, 1, 1, 2, 2, 0, 1, 2, 0, 1, 1, 1, 1, 1, 4, 1, 1, 1, 0, 0, 2, 1, 0, 0, 2, 1, 1, 1, 1, 0, 1, 1, 1, 0]",58.139534883720934,25.581395348837212,2.3255813953488373,13.953488372093023,0.0,25,11,1,6,0
2020-03-16 00:00:00,2020-03-16 00:00:00-2020-03-22 00:00:00,"['SDMC plans curbs to step up coronavirus fight', 'Waste To Wonder Park open; but coronavirus scare leads to dip in footfall', 'Coronavirus scare in Delhi: Four cases prompt survey in busy Janakpuri hub', 'Covid-19 in Delhi: Sanitisation paper must for interstate buses; says government', 'Coronavirus scare in Delhi: Jamia Millia Islamia fully shut; students asked to go home', 'Coronavirus in Delhi: At NCDC control room; phones ringing non-stop', ""Coronavirus: 'Got reluctant response after trying helplines for 30 minutes'"", 'Covid-19 outbreak: Delhi government to check hoarding of sanitisers; fine violators', 'Covid-19 in Delhi: Three corporations invoke emergency clause; insist on hand wash points', 'Coronavirus scare in Delhi: Daily metro footfall down by almost 10 lakh', 'Covid-19: Only a few courtrooms to stay functional at Delhi high court this week', 'Covid-19: App-based cabbies seek better protection', 'Coronavirus scare in Delhi: Shaheen Bagh women may cap number of protesters', 'Delhi: In coronavirus time; worshippers told not to ignore safety tips', 'Covid-19 scare in Delhi: Over six hours at IGI without water or food; no access to washrooms', 'Covid- 19 scare: Inform about foreigner patients; Delhi government tells private hospitals; nursing homes', 'Covid-19 in Delhi: Three hotels near IGI Airport chosen to offer paid isolation facilities', 'Saket man 8th person to test positive for Covid-19 in capital', 'Coronavirus scare in Delhi: SDMC shuts wonder park; Nandan Van', 'Coronavirus scare: 1.5 lakh vendors to be hit by closure of weekly markets in Delhi', 'Covid-19 threat: Delhi high court bars law interns from entering premises; for now', ""#CoronaFear: The one time when being 'foreign-returned' isn't cool"", 'Coronavirus: Private labs can inject life into fight', 'No community transmission of Covid-19 in India so far', 'Coronavirus in Delhi: 10 more government hospitals to collect Covid-19 samples', 'Lonely in time of corona: Elders fear further isolation', 'Coronavirus scare: Shaheen Bagh protesters keep distance; but stay put', 'Covid-19 in Delhi: Restaurants down shutters for the month', 'Coronavirus count: One more in Delhi; two each in Gurugram; Noida', 'Drug to treat inflammation may worsen Covid-19', 'What awaits those flying in from coronavirus hotspots', 'Coronavirus outbreak: Daily ridership in buses declines by 4 lakh in March', ""Covid-19 scare in Delhi: Vendors' woes multiply by the day as losses mount"", 'Coronavirus forces closure of Delhi zoo till March 31', 'Coronavirus outbreak in Delhi: Manjinder Singh Sirsa urges Arvind Kejriwal to help out daily wagers', 'Coronavirus outbreak in Delhi: Sanitise premises; govt tells schools', 'Covid-19 cases in Delhi: Disinfection drives in open gyms; parks', 'Coronavirus in Delhi: Rumours send people rushing for groceries', 'Covid-19 in Delhi: For restaurant owners & staff; a recipe for disaster', 'covid 19 patient ends life in safdarjung hospital delhi ncr cases rise to 19', 'Coronavirus outbreak: 1;300 hand sanitisation points in place across south Delhi', 'Coronavirus scare in Delhi: Services at RTOs to be curtailed', 'Coronavirus scare in Delhi: Rumours make people rush for bulk buying', 'Covid-19 outbreak: AIIMS doctors make sanitisers to beat shortfall', 'Coronavirus in Delhi: Hospitals may pool resources for ICU needs', ""Covid-19 scare: Bus frequency won't be curtailed as it will result in crowding; says Delhi CM Arvind Kejriwal"", 'How Delhi is closing down to shut out coronavirus', 'Covid-19 outbreak: Entire education system halted', 'Coronavirus sacre: Avoid travelling by metro unless unavoidable; says DMRC', 'Coronavirus outbreak: Ensure availability of medicines;says Delhi CM Arvind Kejriwal', 'Covid-19 in Delhi: AIIMS; RML and Lady Hardinge to suspend non-essential surgeries', 'Coronavirus scacre: DJB suspends billing; meter reading; sops to continue', 'Coronavirus outbreak in Delhi: Restaurants serving food will be booked; sealed', 'Coronavirus outbreak in Delhi: Corporations order closure of weekly markets; salons', 'At six; Delhi reports most Covid-19 cases in a day', 'Covid-19 in Delhi: Social distancing not on track yet', 'Coronavirus outbreak: Not all can work from home or afford to take cab', 'Coronavirus outbreak: Students left in the lurch after JNU; DU; Jamia Millia Islamia close hostels', 'Coronavirus in Delhi: Satyendar Jain inspects quarantine facilities; tells officials to ensure all basic amenities', 'Before Sunday curfew; seven new coronavirus cases in Delhi', 'Covid-19: Consultations on online platforms see 50% increase', 'Coronavirus in Delhi: Shops down shutters; but essential services running', 'To soften coronavirus blow; Delhi government increases ration; doubles pensions', 'coronavirus outbreak delhi budget to be placed and passed in one day session']","[1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 2, 2, 1, 0, 1, 1, 2, 1, 1, 1, 0, 2, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 4, 1, 0, 1, 0, 1, 0, 1, 1, 4, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 2, 0, 0, 0, 1, 1, 2, 0, 2, 2]",50.0,34.375,3.125,12.5,0.0,32,22,2,8,0
2020-03-23 00:00:00,2020-03-23 00:00:00-2020-03-29 00:00:00,"['Coronavirus in Delhi: No metro in off-peak hours tomorrow', 'Coronavirus outbreak: Being young may not save you; but precautions will', 'Coronavirus: Delhi government puts a stop to most services at RTOs; for now', 'Coronavirus outbreak: Allow students to stay back in hostels; MHRD tells institutes', 'Delhi corporations release norms for last rites of coronavirus patients', 'To soften coronavirus blow; Delhi government increases ration; doubles pensions', 'Coronavirus outbreak: IIT-Delhi says no to request for quarantine shelter', 'Life in a metro: Without home and means to fight the coronavirus', 'Gurugram doctor among seven new Covid-19 patients in Delhi-NCR', 'Coronavirus outbreak in Delhi: Public transport goes into shutdown mode', 'Coronavirus fighters hear Delhi applaud effort loud & clear', 'Covid-19 scare: Domestic flights to operate at IGI Airport; doubts over connectivity', 'Covid-19: Metro shut till end of month; just 25 per cent of DTC buses to ply', 'Covid-19 facility in hospital run by AIIMS at Jhajjar', ""Covid-19 outbreak: How Delhi's case No. 10 may've set chain reaction"", 'Covid-19 scare: 35;000 foreign returned persons under scanner in Delhi', 'covid 19 delhi under lockdown no movement of vehicles between city ncr', 'Delhi: People ignore lockdown restrictions; vehicles out in large number on roads', 'Coronavirus lockdown: Delhi CM Arvind Kejriwal warns offenders of strict action', 'Coronavirus lockdown: Confusion over flight operations at Delhi airport', 'Coronavirus outbreak: Delhi high court suspends breath tests for ATCs', 'Delhi: MPhil scholar faces slur; spat on over coronavirus paranoia', 'Coronavirus outbreak in Delhi: Tihar will release 3;000 to decongest jail', 'Covid-19 outbreak in Delhi: Single-use masks; gloves pose risk to sanitation staff', 'Coronavirus lockdown: Delhi high court; six lower courts closed till April 4', 'Coronavirus lockdown: Buses bear the brunt on Day 1', ""Coronavirus lockdown: Only four allowed at a time at Delhi's Shaheen Bagh"", 'Covid-19 outbreak: DSGMC offers gurdwara to set up quarantine facilities', 'Delhi: Doctor tests coronavirus positive; wife and daughter also under watch', 'Home quarantine posters put up in Delhi to prevent spread', 'Construction labour in Delhi to get Rs 5;000 corona relief', 'Coronavirus in Delhi: Five new cases; three more linked to case No. 10', 'Coronanxiety: Focus on mental healthcare', 'No-entry for ragpickers defeats lockdown in Delhi: Locals', 'Delhi lockdown: Food delivery chains have too much on plate', 'All hands on deck: Three big pvt hospitals join corona fight', 'Delhi lockdown: Food kitchens so that no one goes hungry', 'Delhi Police step in to feed those left jobless due to lockdown', 'Coronavirus adds to misery of Delhi riot victims', 'All hands on deck: Three big private hospitals join coronavirus fight in Delhi', 'Four new coronavirus cases in Delhi; total 39', 'Delhi lockdown: Truck drivers stranded; supply of essential items likely to be affected', 'Delhi Police officer quarantined after daughter returns from abroad', 'Corona blue: Clear skies; clean air in Delhi', 'Delhi lockdown: Over 500 hunger relief centres set up for 4 lakh people', 'Delhi: Corporations may rope in retired employees if corona crisis deepens', 'Delhi records 2nd Covid-19 death; nine cases in a day', 'Quarantine safari: When the nilgai goes to the mall', 'Delhi coronavirus lockdown: Migrants stop to fill up at hunger centres; march on']","[1, 2, 0, 1, 2, 2, 1, 1, 1, 1, 2, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 4, 0, 0, 0, 1, 0, 4, 1, 1, 1, 1, 2, 4, 4, 0, 1, 0]",57.14285714285714,22.448979591836736,8.16326530612245,12.244897959183673,0.0,28,11,4,6,0
2020-03-30 00:00:00,2020-03-30 00:00:00-2020-04-05 00:00:00,"['Coronavirus in Delhi: 23 new cases; most in a day', ""Delhi lockdown: 59% of those surveyed can't get essentials"", 'Coronavirus lockdown: Delhi could use Jawahar Lal Nehru stadium to shelter labourers', ""Coronavirus disaster in Delhi's Nizamuddin: Drones; masked men; 30;000 litres of disinfectant"", 'Delhi Covid-19 lockdown: Ration may soon be delivered at doorstep', 'Delhi lockdown: Migrant workers are out of job; food and luck', 'Universities in Delhi connect with students to help cope with uncertainty amid lockdown', 'Delhi doctors on Covid-19 duty to get food from Hotel Taj', 'Delhi cops wary of snooping on 25;000 under quarantine', 'Govt to give Covid-19 info via chatbot', 'How corona has made regular child delivery a googly', 'Delhi: Corona warriors too in grip of virus', 'Delhi lockdown: Spend quality time with kids; Arvind Kejriwal tells parents', 'coronavirus in delhi latest news live updates on delhi corona cases deaths 05 april 2020', 'Man suspected to have contracted coronavirus attempts suicide at Delhi hospital', ""Coronavirus outbreak: Delhi cabinet's nod for procuring PPE kits from local firms""]","[1, 0, 1, 1, 2, 0, 1, 0, 1, 2, 2, 1, 0, 1, 1, 0]",50.0,31.25,0.0,18.75,0.0,8,5,0,3,0
