,timeline,news,Emotions,fear_percentage,anger_percentage,sadness_percentage,joy_percentage,surprise_percentage,fear,anger,sadness,joy,surprise
2020-01-24 00:00:00,2020-01-24 00:00:00-2020-01-24 00:00:00,['What is novel coronavirus (2019-nCoV)?'],[2],0.0,0.0,0.0,100.0,0.0,0,0,0,1,0
2020-01-27 00:00:00,2020-01-27 00:00:00-2020-02-02 00:00:00,"['Corona alert: Team to review preparedness in Hyderabad', 'Coronavirus looms; but no labs in Telangana to test samples', 'Hyderabad ICMR lab among four across India to detect novel Coronavirus', 'Create awareness on novel Coronavirus: Expert team', 'Coronavirus scare: Five more from Hyderabad kept in isolation', 'Hyderabad: One-roof treatment centre for corona; other virus soon', 'Telangana authorities to test for coronavirus twice', 'Four new suspected Coronavirus cases in Hyderabad; government says no need to panic', 'Three new suspected coronavirus cases in Hyderabad; 7 results awaited from NIV']","[1, 1, 2, 2, 1, 2, 1, 1, 1]",66.66666666666666,0.0,0.0,33.33333333333333,0.0,6,0,0,3,0
2020-02-04 00:00:00,2020-02-04 00:00:00-2020-02-09 00:00:00,"['Coronavirus scare hits chilli exports from Andhra Pradesh; Telangana to China', '800 passengers being screened for coronavirus at Hyderabad airport daily', 'Health ministry docs to inspect corona preparedness at airport', 'Coronavirus alert: Another 12 moved to isolation wards', 'Hyderabad: 18 new coronavirus suspects; separate wards for treating severe cases', 'Telangana: Chilkur Balaji temple prays for coronavirus to go away', 'Coronavirus: Tellapur RWA gives homeopathy a chance', ""Coronavirus hits phone biz: Mobile spare parts' supply in Hyderabad may be disrupted"", 'Nine new corona suspects in Hyderabad hospital; 141 in quarantine']","[0, 1, 1, 1, 1, 0, 1, 4, 1]",66.66666666666666,22.22222222222222,11.11111111111111,0.0,0.0,6,2,1,0,0
2020-02-10 00:00:00,2020-02-10 00:00:00-2020-02-16 00:00:00,"['Coronavirus scare: Two new suspected cases in Hyderabad', 'Telangana: Granite business hits coronavirus bump; down by Rs 100 crore', 'Telangana: 74 cases negative for coronavirus; one returning passenger kept in isolation', 'Coronavirus panic spreads faster than virus in Telangana', ""I'm being framed; didn't leak coronavirus information: Doctor"", 'Hyderabad: Four new coronavirus suspects in Gandhi Hospital', 'Telangana: Lucrative on-site posts find no takers amid coronavirus fear', 'Schools told to sensitise students on measures to prevent COVID', 'Coronavirus: No brakes on seafood export to China', 'Six new suspected coronavirus cases in Hyderabad', 'Four new suspected coronavirus cases recorded in Hyderabad']","[1, 2, 1, 1, 0, 1, 2, 1, 1, 1, 1]",72.72727272727273,9.090909090909092,0.0,18.181818181818183,0.0,8,1,0,2,0
2020-02-19 00:00:00,2020-02-19 00:00:00-2020-02-23 00:00:00,"['Pharma biggies see opportunity in Coronavirus', 'Coronavirus scare: 56 techies from Telangana and Andhra Pradesh return from Wuhan', 'Coronavirus scare hits Chinese goods markets of Hyderabad real hard']","[2, 1, 1]",66.66666666666666,0.0,0.0,33.33333333333333,0.0,2,0,0,1,0
2020-02-26 00:00:00,2020-02-26 00:00:00-2020-03-01 00:00:00,"['Hyderabad: RGIA to extend screening for coronavirus', 'Saudi Arabia suspends Umrah visa over coronavirus; pilgrimage plans of thousands from Hyderabad hit', 'Coronavirus fears in T on the wane; 100 now out of isolation']","[1, 0, 2]",33.33333333333333,33.33333333333333,0.0,33.33333333333333,0.0,1,1,0,1,0
2020-03-03 00:00:00,2020-03-03 00:00:00-2020-03-08 00:00:00,"['Be ready to handle corona cases; teaching hospitals told', 'coronavirus rears its head in city techie tests positive', 'Telangana man who tested positive for covid-19 went unchecked upon his arrival at Bengaluru airport', 'Coronavirus scare: Workers in Iran worried; call on Union government to airlift them back to India', 'Weather in Telangana will stop coronavirus from spreading; says health minister Eatala Rajender', ""Coronavirus in Hyderabad: 36 of techie's contacts show symptoms"", 'Coronavirus scare: Sanitisation operations start on war footing in Hyderabad', 'Coronavirus: 36 suspects under lens; over 400 in quarantine in Hyderabad', 'Schools shut; offices evacuated; homes sanitised as #CoronaScare grips Hyd', 'coronavirus in hyderabad india two more covid 19 cases suspected in hyderabad', ""Don't suspend work over Covid-19; Telangana govt tells IT firms"", 'Gandhi hospital Hyderabad: Outpatient visits fall from 5;000 to 1;200 due to Covid-19 scare', 'Coronavirus scare: Review nod for public meetings; Telangana HC tells police', 'Coronavirus: Telangana issues advisory for hospitals', 'Vij in the clear as suspected COVID-19 case a false alarm', 'Telangana high court: Focus on slums to check coronavirus spread', 'Coronavirus measures in Telangana: Lens on 536 as part of containment plan', 'Coronavirus in Hyderabad: Cautious techies reboot work; log in from home', 'Kadapa students in trouble for fake coronavirus posts', 'Telangana: Covid-19 control centre begin operations; raids at 27 medical shops', '11 from Hyderabad stranded in Iran amid coronavirus fear; seek government help', 'Hyderabad: SCR does its bit to tackle coronavirus scare', '2 new corona suspect cases in Tirupati', 'Covid-19 has still not reached pandemic levels; say scientists', 'Covid-19: 16 medical shops sealed in Hyderabad for overcharging masks']","[2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 2, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1]",76.0,12.0,0.0,12.0,0.0,19,3,0,3,0
2020-03-09 00:00:00,2020-03-09 00:00:00-2020-03-15 00:00:00,"['Coronavirus in Hyderabad: 35k international passengers screened at RGIA since Feb 18', ""Coronavirus scare clips 'Wings India 2020' to solely business event"", 'Coronavirus in Telangana: Isolation ward should have no link to other blocks; says health minister Eatala Rajender', 'Coronavirus scare in Hyderabad: Techie likely to be discharged in a week', 'Covid-19: Plan to screen domestic passengers at Hyderabad airport put on hold', 'Coronavirus in Hyderabad: Poultry business hit hard; losses pegged at Rs 500 crore', 'No scientific evidence to suggest non-vegetarian food causes Covid-19', 'Covid-19 scare: Hundreds of Telangana; Andhra Pradesh students stranded as Italy on lockdown', 'Covid-19 scare in Hyderabad: Three Italy returnees rushed to Gandhi hospital from airport', 'Coronavirus scare in Hyderabad: Round-the-clock doctor at Hitech city IT company', 'Coronavirus scare: Three Hyderabadis among 15 Indian students stuck at Milan airport', 'Telangana: Mahendra Hills safe; no coronavirus cases', 'Coronavirus: Telangana high court fumes over hoarding of masks; sanitisers', 'Coronavirus scare in Hyderabad: IT firms; staff told to work from home', 'Coronavirus in Telangana: Unwell devotees should avoid mass; says Archdiocese', 'Covid-19 scare in Telangana: Passport Seva Kendras flooded with passport applications', 'Kalaburagi coronavirus patient came in contact with 100 in Hyderabad', 'Coronavirus sent AsiaPac air traffic plummeting 50%; to hit EU & North America now', 'Covid-19 scare in Telangana: OU; KU stop biometric attendance in colleges', 'Coronavirus scare: IIT-Hyderabad extends mid-semester break', 'Covid-19 outbreak: After cancellations; flyers scamper around for refunds in Hyderabad', ""KCR virus jibe: Cong India's coronavirus"", 'Coronavirus in Telangana: Lack of coordination among hospitals a concern', 'Coronavirus scare in Hyderabad: Railways flooded with calls for refund; cancellation', 'Telangana: Poultry prices dip as people chicken out on coronavirus fear', 'Coronavirus scare: Telugus in US help students get accommodation', 'Hyderabad: IT companies gear up as coronavirus count rises', 'Coronavirus case in Hyderabad: One more tests positive; 2 samples sent to National Institute of Virology', 'Coronavirus scare in Telangana: Colleges; schools; clubs and theatres shut', 'Coronavirus in Telangana: Chief minister urges calm; says more funds in store if needed']","[1, 2, 0, 1, 1, 4, 0, 1, 1, 1, 1, 2, 0, 1, 4, 0, 1, 2, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 2]",60.0,20.0,6.666666666666667,13.333333333333334,0.0,18,6,2,4,0
2020-03-16 00:00:00,2020-03-16 00:00:00-2020-03-22 00:00:00,"['Coronavirus outbreak: Hyderabad blood banks report shortage', 'Para forces asked to set up quarantine camps; says Kishan', '64k passengers screened for coronavirus at RGIA: Sajjanar', 'Coronavirus: Pharma companies eye profits; put marketing staff on the line', 'Covid-19: Schools closed in Telangana; but teachers asked to work', 'Covid-19 scare: Shut till Mar 31; schools introduce online classes for new academic year', 'Uttam: Cong is nation builder; KCR is the real coronavirus', 'Third coronavirus case in Hyderabad; man back from Holland tests positive', 'Coronavirus scare: Telangana govt seeks to quarantine all passengers', 'Sanjay: CM not scared of coronavirus; but BJP', 'City scales up quarantine facilities to brace for spurt in corona cases', 'Schools plan study-at-home to prevent corona spread', 'Principal secy Arvind Kumar under self-quarantine', 'State expands quarantine plans for fliers from abroad', ""Fight the 'paan-demic' to tackle coronavirus: Locals on Twitter"", 'Covid-19 scare in Telangana: Special rooms in exams for those with cold symptoms', 'Students create Covid-19 tracker', 'Telugu groups in US counter Covid-19 impact', 'Telangana: Hit by coronavirus; schools to cut down holidays', ""Covid-19 is Telangana's overriding concern"", 'Covid-19: ISB stops classes', 'Covid-19 scare: A Revanth Reddy not produced in court', 'Wary Telangana set for quarantine: Target 10;000 beds', 'Over 70k people under home-quarantine', 'Alternate healing is in as people look to combat Covid-19', ""Coronavirus scare in Hyderabad: Confusion prevails over hostels' closure; inmates fret and fume"", 'Covid-19: Treatment for Hyderabad boy with Chapel syndrome hits roadblock', 'Coronavirus in Hyderabad: Colleges still open; conduct exams', 'Fliers from Gulf moved to quarantine', 'Sarada peetam and TTD to conduct anti-Covid-19 yagams', ""'Covid-19 has spread; hasn't become deadlier'"", 'Coronavirus cases spike in Telangana; 8 positive in one day', 'Covid-19: All malls; theatres to remain closed in Telangana till March 31', 'Covid-19: Inter; Class X exams in AP to be held as per schedule', ""Suspected coronavirus case in AP's Guntur"", 'Covid-19: Karimnagar in virtual lockdown for health check', 'Covid-19: Protests over lack of facilities at isolation centre in Hyderabad', 'Covid-19: As Hyderabad firms log into WFH; rent & prices of laptops; computers soar', 'More needed to curb Covid threat; Hyderabad IT workers say', 'Covid-19: Those sans symptoms sent for home quarantine from Hyderabad airport', 'Coronavirus: Will cooperate with government measures; says Asaduddin Owaisi', 'Covid-19: Gated communities in Hyderabad go all out to keep virus at bay', 'Coronavirus concerns: Telangana MLA returns from US but not under quarantine', 'Hyderabad: Nimmagadda back; in quarantine', 'Coronavirus scare: Hyderabad schools reschedule educational trips abroad', 'Coronavirus scare in Telangana: SSC exams postponed', '2 Indonesians; city girl test +ve for corona', 'Home quarantined under GHMC watch', 'ROCs ask firms to submit Covid compliance', 'After protest; flyers allowed to leave quarantine facility', 'Community transmission of Covid on the anvil', 'Man in quarantine locked up; calls cops', 'Corona; Maha shutdown leave NZB turmeric farmers in losses', 'Work from home: Demand for internet soars amid Covid-19 scare', 'Coronavirus outbreak: Hyderabad Archdiocese suspends all services', 'Covid-19 pandemic: South Central Railway shuts retiring room; dormitories in all railway stations', 'HC takes up PIL on insanitary conditions at quarantine facilities', 'Covid-19 in Telangana: Anganwadi centres will continue supplying food to pregnant women', 'Covid-19 pandemic: Pets bearing brunt of fake news forwards', 'Two more test positive for coronavirus in Telangana', 'Telangana to perform homams for early control of Covid-19 pandemic']","[1, 1, 1, 2, 0, 0, 0, 1, 1, 1, 1, 2, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 2, 4, 2, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 2, 0, 0, 1, 4, 0, 0, 0, 1, 1, 4, 1, 1]",45.90163934426229,39.34426229508197,4.918032786885246,9.836065573770492,0.0,28,24,3,6,0
2020-03-23 00:00:00,2020-03-23 00:00:00-2020-03-29 00:00:00,"['Coronavirus outbreak: Passengers stranded at Secunderabad railway station due to curfew', 'Hyderabad: 7 with quarantine stamps caught at Mahatma Gandhi Bus Station', 'Telangana: CCMB; CDFD await kits for Covid-19 testing', '6 test positive for coronavirus; Telangana total now up to 27', '39 Qatar returnees halted at border; shifted to quarantine', 'Five booked for travelling with seal for quarantine', 'Coronavirus scare: Telangana shuts down till March 31; key services to be kept open', 'In times of social distancing; virtual socialising helps beat coronavirus blues', 'Hyderabad: No lockdown on Rs 5 meal in twin cities', 'Suspected coronavirus patient in Khairatabad', 'Hyderabad: Control room set up at Secretariat to track coronavirus spread', 'Cyberabad police: People violating lockdown norms to get 1-year jail', 'Vegetables prices rise amid lockdown in Hyderabad', 'Have app to track those advised to quarantine: Secunderabad firm', 'Australia-returnee booked for defying quarantine fiat', 'Telangana: DSP; cook test positive for coronavirus', 'Hyderabad: Covid-19 helpline proves hard to reach', 'Six new coronavirus cases in Telangana; tally reaches 39', '#CoronaScare casualty: Medicos face discrimination', 'Covid fight caught in red tape and kit shortage in Telangana', 'Despite KCR rap and lockdown appeal; most public representatives MIA', 'Covid-19 scare? Ugadi spirit remains high in Hyderabad', 'Coronavirus outbreak: Indian embassy helps students stuck in Kazakhstan', 'Hyderabad: Expecting mummy from UK quarantined', 'Coronavirus: Cardiac patients need to take extra care', ""B'luru lockdown hits techies from Telugu states badly"", 'Telangana: Cyber criminals have free run in Covid-19 lockdown', 'Gandhi hospital likely to treat only Covid-19 cases in Telangana', 'Hyderabad: Sale of homes drops 50%; experts say coronavirus a reason for slowdown', 'Spyware in garb of Covid-19 info: Police', 'Hyderabad hearts open up to feed needy caught in coronavirus storm', 'Army gears up to battle Covid-19', 'Telangana: Kids donate savings to fight Covid-19', 'Telangana: Wildlife sightings bring cheer amid coronavirus gloom', 'Hotel shelters 5 amid Covid-19 lockdown', 'Lay-offs due to Covid leave Indian H-1B holders in a fix', ""Big dent? Covid-19 cloud over Telangana's revenues"", '23 sailors stranded at port city in Covid hotbed Spain', 'Conduct free Covid-19 tests: Asaduddin Owaisi', '74-year-old 1st Covid-19 death in Telangana; total cases 67 as 8 more positive']","[1, 1, 2, 2, 1, 1, 0, 2, 0, 1, 1, 0, 0, 2, 1, 1, 2, 2, 0, 0, 0, 2, 1, 1, 1, 0, 2, 1, 0, 1, 4, 0, 2, 4, 1, 0, 2, 1, 2, 2]",37.5,27.500000000000004,5.0,30.0,0.0,15,11,2,12,0
