,timeline,news,Emotions,fear_percentage,anger_percentage,sadness_percentage,joy_percentage,surprise_percentage,fear,anger,sadness,joy,surprise
2020-01-22 00:00:00,2020-01-22 00:00:00-2020-01-25 00:00:00,"['Kolkata: Report if you show signs of coronavirus; flyers told', 'ID Hospital readies ward for coronavirus', 'Kolkata: 40% flyers cancel trips to China amid coronavirus scare; more may follow']","[1, 1, 0]",66.66666666666666,33.33333333333333,0.0,0.0,0.0,2,1,0,0,0
2020-01-30 00:00:00,2020-01-30 00:00:00-2020-02-01 00:00:00,"['Port lens on coronavirus at Kolkata; Haldia; Budge Budge', ""Kerala's coronavirus patient passed via Kolkata last week"", ""Coronavirus outbreak: NICED to test West Bengal man's samples"", 'West Bengal: Scholar on his way home; but may be quarantined for 14 days']","[0, 1, 0, 1]",50.0,50.0,0.0,0.0,0.0,2,2,0,0,0
2020-02-03 00:00:00,2020-02-03 00:00:00-2020-02-09 00:00:00,"[""Kolkata: Coronavirus transmission by 'silent carriers' a worry"", 'Coronavirus scare: Three co-flyers of Kochi woman in Kolkata hospital', 'CISF distributes masks to personnel at Kolkata airport to guard against coronavirus', 'Coronavirus outbreak: Kolkata-China flights go off the radar', ""Kochi woman's 4 co-flyers from West Bengal test negative for coronavirus"", ""Kolkata airport starts tracking coronavirus victims' co-flyers"", 'Coronavirus: No direct Kolkata-China flight from Monday', 'IndiGo benches crew which flew with coronavirus patients', 'Coronavirus: Ships from China put in isolation at Haldia port', 'Kolkata: Doctors webcast coronavirus awareness tips']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",90.0,0.0,0.0,10.0,0.0,9,0,0,1,0
2020-02-10 00:00:00,2020-02-10 00:00:00-2020-02-16 00:00:00,"['Coronavirus scare: Howrah woman sent to hospital for quarantine', 'Ship from China to city screened; 2 COVID-19 suspects in hospital', ""Coronavirus scare: Ship with Chinese crew 'isolated' at Kidderpore"", 'Five IIT-Kharagpur PhD scholars in quarantine', 'West Bengal: 2.7k km away; coronavirus scare keeps foodies from Chinatown', 'Covid-19 scare: Steep duty hike push toy trade into deep trouble in Kolkata', 'Covid-19 outbreaks may turn endemic; fear doctors']","[1, 1, 1, 0, 1, 1, 1]",85.71428571428571,14.285714285714285,0.0,0.0,0.0,6,1,0,0,0
2020-02-19 00:00:00,2020-02-19 00:00:00-2020-02-22 00:00:00,"[""Coronavirus cloud over Kolkata's airport Rs 36 crore tray retrieval project"", 'Smokers more susceptible to coronavirus attack; say experts']","[2, 1]",50.0,0.0,0.0,50.0,0.0,1,0,0,1,0
2020-02-27 00:00:00,2020-02-27 00:00:00-2020-03-01 00:00:00,"[""Corona scare: Airlines 'rationalize' services to reduce mounting losses"", '10% slump in Kolkata international flyer count as trips cancelled amid corona scare', 'Coronavirus scare: Online rumours pull chicken sales down by 50% in Kolkata', 'West Bengal plans drive to dispel rumours about chickens spreading coronavirus', 'Coronavirus scare: Chinese yuan offtake comes to a halt in Kolkata']","[0, 4, 0, 1, 1]",40.0,40.0,20.0,0.0,0.0,2,2,1,0,0
2020-03-03 00:00:00,2020-03-03 00:00:00-2020-03-08 00:00:00,"['In Covid-19 fear grip; Japan students take flight back home', 'Six more nations on airport coronavirus alert', 'Coronavirus scare: Anxious Bengalis return from Italy; some stay back', 'Coronavirus in West Bengal: Another 345 under lens; 986 in home isolation', ""Coronavirus scare: 'Novel' experience for the tourists travelling from Kolkata; but doctors advise caution"", 'Coronavirus in Kolkata: Calcutta University bars travel to and from affected nations', 'Coronavirus cloud on campus calendars', 'Coronavirus in Kolkata: 3 in ID isolation ward; health department sets up camp at airport', 'Coronavirus scare: All international flyers to undergo thermal check at Kolkata airport; Singapore advisory withdrawn', 'Coronavirus scare: Bhutan shuts doors on foreigners; 1;200 tourists cross over to West Bengal', 'Coronavirus scare: Seminar bar for South Korean professor at IIT-Kharagpur', 'Covid-19 formalities push up travel time at Kolkata airport', 'KMC to help West Bengal health department fight against spread of coronavirus', 'Covid-19: Stock depleting; masks being sold at a premium in Kolkata', 'Covid-19 not in Kolkata; but traders rue low Holi sales amid virus scare', 'Coronavirus outbreak: Hospitals stare at shortage of medicines; equipment after imports squeeze in Kolkata']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 0]",81.25,12.5,0.0,6.25,0.0,13,2,0,1,0
2020-03-09 00:00:00,2020-03-09 00:00:00-2020-03-15 00:00:00,"['Coronavirus in Kolkata: Private hospitals set up isolation wards after state directive', 'Coronavirus in Kolkata: Health checks mark Mayapur Gour Purnima celebrations', 'Kolkata: Non-coronavirus outbreak adds to medical concerns', 'Kolkata: Raid on mutton shops for using coronavirus scare to jack up prices', 'Covid-19 victim was Iskcon devotee', 'Kolkata: Coronavirus spooks domestic flyers; airlines forced to slash fares', 'Coronavirus scare: Bangladesh airlines to suspend Kolkata services from tomorrow', 'Coronavirus in Kolkata: Exam centres keep special rooms ready; schools suggest sanitizers', 'Coronavirus scare: Strict action against rumour-mongers; says West Bengal CM', 'West Bengal: IIT-Kharagpur cancels classes; IIM-Calcutta pushes convocation back to avoid coronavirus risk', 'Covid-19 outbreak in West Bengal: Seats go empty; theatres may shut down for now', 'Covid-19 scare: Food delivery apps issue safety tips for staff; patrons', 'Coronavirus scare: Movement restricted across India-Bangladesh border', 'This spring; coronavirus leaves Mount Everest out of bounds for mountaineers', 'Stranded Indians rush to return amid ad hoc coronavirus cancellations', 'Domestic flights deep-cleaned following coronavirus protocol; but fumigation not on list', 'Coronavirus scare in West Bengal: Port starts isolation wards in Kolkata; Haldia', 'IIM Calcutta mulls online interview to navigate coronavirus', 'West Bengal: Doctors cancel work trips as world combats coronavirus', 'Coronavirus in West Bengal: Home from ship; crew member looks at third two-week isolation', 'Coronavirus scare in Kolkata: 500% jump in airfares keeps students away from home', 'Coronavirus in West Bengal: All schools; colleges; universities to remain shut till March 31']","[1, 2, 1, 0, 0, 0, 1, 2, 0, 0, 4, 1, 1, 1, 4, 0, 1, 1, 0, 1, 1, 4]",45.45454545454545,31.818181818181817,13.636363636363635,9.090909090909092,0.0,10,7,3,2,0
2020-03-16 00:00:00,2020-03-16 00:00:00-2020-03-22 00:00:00,"['Kolkata: Victoria; Indian Museum shut down amid coronavirus-spread fear', 'Coronavirus scare in Kolkata: Temples take steps to curb crowds on premises', 'Covid-19 in Kolkata: KMC closes swimming pools till month-end', 'Covid-19 in West Bengal: Border vigil beefed up; movement restricted', ""Coronavirus scare: Woman returns from Mecca with fever; flees from Bengal's ID hospital"", 'West Bengal likely to requisition 52 flats; plans 500 more quarantine beds', 'Coronavirus in Kolkata: City stares at Rs 440 crore business jolt', 'Kolkata: Private facilities pad up to fight coronavirus', 'Educational institutes look at calendar tweak to beat coronavirus shutdown', ""Coronavirus scare: Jeet; Mimi cut short 'Baazi' shoot in London"", ""West Bengal panel checks private hosps' coronavirus preparedness"", 'Kolkata: Coronavirus lockdown fear sets off panic buying of staple items', 'Coronavirus scare: Sanitisers; paper tissues replace finger bowls; napkins at eateries', 'Face police action if you spread coronavirus rumours in Kolkata', 'Coronavirus scare in Kolkata: 24 ID cabins with attached toilets have hosted over 50', 'Covid-19 outbreak: Stuck in foreign lands; Kolkatans race against time to return home', 'Covid-19 scare in Kolkata: Clubs take preventive steps but put responsibility onus on members', 'Kolkata on Covid-19 map; teen back from UK tests positive', ""Coronavirus scare: In Kolkata; 'Gaumutra' lands cop in hospital; local BJP organiser behind bars"", 'Covid-19 scare in Kolkata: Condominium on sanitisation overdrive to check virus spread', ""Nabanna cleans up after office visit by Covid-19 boy's bureaucrat mother"", 'ID refers two to NRS as number of Covid-19 suspects exceeds beds', ""Covid-19 scare in West Bengal: State employees' office time cut short by an hour"", 'Coronavirus scare: Kolkata churches bring changes to Lent prayers and services', 'Strangers join hands to help the elderly in times of corona crisis', 'Coronavirus in Kolkata: Next 8-10 days critical in fight against disease; says doctors', 'Coronavirus in Kolkata: Crowded hospitals beat concept of social distancing; say doctors', 'Co-flyers of Covid-19 positive teen traced; all advised home isolation', 'Coronavirus scare in West Bengal: Schools form attendance module for teachers', 'Ships from 15 countries to face quarantine', 'Coronavirus scare: Calcutta University; Presidency University defer exams; others may follow suit', 'Early start at New Town quarantine centre as flyers from Gulf check in', 'Kolkata: Gated communities step up fight against coronavirus', ""Covid-19 scare in Kolkata: Techie faces locals' wrath after return from Finland"", 'Covid-19 in Kolkata: Challenges ahead to enforce quarantine', 'Kolkata: Premier clubs declare temporary closure to keep coronavirus at bay', 'Salt Lake civic body kicks off coronavirus awareness campaign', 'Covid-19 in Kolkata: Harrowing time for suspect seeking a bed in government hospital', 'Coronavirus in Kolkata: No mass; church services till March 31', 'Coronavirus in West Bengal: Bars; eateries; clubs asked to shut down till March 31', 'Four Kolkata doctors face flak for flouting coronavirus norm', 'Virus at doorstep; S Kol condo living on phone', 'In view of coronavirus outbreak; West Bengal government postpones HS exams; new dates to be declared after April 15', 'Amid coronavirus scare; Kolkata begins to heal its air and water quality', 'Coronavirus curbs trigger prison riot in Kolkata; one shot; eight hurt', 'Man with no travel history tests coronavirus positive; West Bengal count at 4', 'Coronavirus scare: Stop inter-state trains; says West Bengal CM']","[1, 1, 0, 1, 1, 0, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 0, 1, 0, 1, 1, 1, 0, 2, 1, 1, 1, 1, 1, 0, 0, 1, 2, 1, 0, 0, 0, 1, 0, 2, 4, 1, 1]",59.57446808510638,23.404255319148938,2.127659574468085,14.893617021276595,0.0,28,11,1,7,0
2020-03-23 00:00:00,2020-03-23 00:00:00-2020-03-29 00:00:00,"['Covid-19 scare in West Bengal: Govt asks hotels to assign self-isolation rooms for guests returning from abroad', 'Private labs await nod to collect samples from home; conduct Covid-19 tests', ""21 new 'suspects'; total 52 in hosp quarantine"", 'Fresh arson at Kolkata prison over Covid-19 restriction', ""Three more test positive; Kolkata's Covid-19 count now at seven"", 'Kolkata air turns cleaner as residents stay indoors to minimize coronavirus risk', 'ATC lockdown in Kolkata not an option; reserve team on standby for emergency', 'Coronavirus outbreak in West Bengal: Buses leave for districts with passengers on roof', ""Sanitization; fumigation at West Bengal Covid-19 victim's locality"", ""Coronavirus outbreak: Residents' vigil at Kolkata complexes to identify isolation-rule flouters"", 'Ballygunge condo disinfected; coronavirus test on helps', 'Coronavirus in West Bengal: MCH starts drawing up corona hospital plan', 'ATC lockdown in Kolkata not an option; reserve team on standby for emergency', ""Covid-19 scare: West Bengal to get 400 hotel rooms for suspects' self-isolation"", 'Covid-19 outbreak in West Bengal: Locals harass people with foreign travel history', 'Kolkata: Ambulance refuses to take coronavirus suspect to hospital', 'On first day; cops arrest 1;003 for violating lockdown rules', 'Kolkata: Supply of milk; atta; oil faces lockdown heat', 'Step towards coronavirus hospital: Medical College Hospital Kolkata discharges patients', 'Kolkata: Stopped for lockdown flout; woman attacks cops', ""Kolkata's shame: One more case of coronavirus racial slur"", 'Bengal lawmakers fund Covid-19 fight', 'First West Bengal private lab gets nod for coronavirus test', 'Kolkata: Dhapa crematorium furnaces reserved for Covid-19 victims', 'From bikers to barbers; 2;000 held for breaking lockdown in Kolkata', '66-year-old is 10th Covid-19 case in Kolkata; has no travel history', 'Archdiocese finds Biblical similarity in 21-day lockdown', 'City clubs and corporates donate to state corona fund', 'With Kolkata reeling under lockdown; citizens come together to feed strays', 'Gurugram youth breaks quarantine; lands in Kolkata', 'Potato growers in north Bengal hit hard by lockdown', 'Recycle; reuse; follow a zero-waste drill: Take stock of your pantry in the time of #lockdown', 'Home-quarantine notices on doors in 3 dists', 'Viral fear: Corona takes a heavy toll on mental health']","[1, 1, 1, 0, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 2, 4, 0, 0, 2, 1, 1]",50.0,32.35294117647059,2.941176470588235,14.705882352941178,0.0,17,11,1,5,0
