,timeline,news,Emotions,fear_percentage,anger_percentage,sadness_percentage,joy_percentage,surprise_percentage,fear,anger,sadness,joy,surprise
2020-01-25 00:00:00,2020-01-25 00:00:00-2020-01-25 00:00:00,['Development of coronavirus vaccine initiated under 3 programmes'],[2],0.0,0.0,0.0,100.0,0.0,0,0,0,1,0
2020-01-28 00:00:00,2020-01-28 00:00:00-2020-02-01 00:00:00,"['Coronavirus pushes up demand for N95 face masks from India', 'Juhu resident back from Wuhan; epicentre of novel Coronavirus; quarantined', 'Home after 7-day isolation for novel coronavirus; Kalyan man relieved', 'Coronavirus outbreak: 3 discharged from Kasturba hospital; now 2 foreign nationals admitted', 'Coronavirus outbreak: Central health team to visit Maharashtra', ""Coronavirus outbreak: 'Heavy-duty N95 mask not necessary outside hospitals'""]","[0, 1, 2, 1, 1, 1]",66.66666666666666,16.666666666666664,0.0,16.666666666666664,0.0,4,1,0,1,0
2020-02-03 00:00:00,2020-02-03 00:00:00-2020-02-09 00:00:00,"['Mumbai: Two foreigners isolated over coronavirus fear discharged', 'Coronavirus testing kicks off in Mumbai; Navi Mumbai resident given clean chit', 'Coriander and garlic pod not effective cure for coronavirus: Health officials', 'Coronavirus: 2 Wuhan students put in isolation 2 wks after return', 'Navi Mumbai: Jawaharlal Nehru Port Trust starts screening foreign crew for coronavirus']","[1, 2, 2, 1, 1]",60.0,0.0,0.0,40.0,0.0,3,0,0,2,0
2020-02-19 00:00:00,2020-02-19 00:00:00-2020-02-19 00:00:00,['#CoronaConcerns: Wary Mumbaikars change travel plans; travel industry faces the blow'],[1],100.0,0.0,0.0,0.0,0.0,1,0,0,0,0
2020-02-27 00:00:00,2020-02-27 00:00:00-2020-02-28 00:00:00,"['Mira Road woman on way home from coronavirus-hit ship', 'Coronavirus: Flyers from Italy & Iran to be screened in Mumbai airport', 'Coronavirus: Two Maharashtra students back from Wuhan; 195 from China; Japan']","[1, 1, 1]",100.0,0.0,0.0,0.0,0.0,3,0,0,0,0
2020-03-04 00:00:00,2020-03-04 00:00:00-2020-03-08 00:00:00,"['Four municipal hospitals in Mumbai identified to set up coronavirus isolation wards at short notice', 'Coronavirus scare: Mumbai schools cancel foreign trips after Delhi shutdown', 'Covid-19 scare: Greet with namaste; not handshake; says Maharashtra minister Rajesh Tope', 'Mumbai airport health body asks for more hands to screen all international passengers for coronavirus', 'Coronavirus scare: 10 quarantined in Kasturba', 'Holi could be low-key as coronavirus worries spook celebrants in Mumbai', 'No need for masks to prevent coronavirus as situation normal in Maharashtra; people can use handkerchiefs: CM; health secretary', 'Coronavirus in Mumbai: Airport gets 40 more staffers to scan passengers', 'Covid-19 scare in Maharashtra: Ship with 20 Filipinos to be quarantined', 'Covid-19 scare: Mumbai short on ventilators; say doctors', 'Coronavirus scare: Avoid kissing holy cross; says Cardinal Gracias', 'Covid-19 scare in Mumbai: FDA stops face masks sale without prescription', ""Coronavirus scare: Mumbai's SevenHills Hospital may be used as quarantine facility for now""]","[1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1]",76.92307692307693,7.6923076923076925,0.0,15.384615384615385,0.0,10,1,0,2,0
2020-03-11 00:00:00,2020-03-11 00:00:00-2020-03-15 00:00:00,"['Now; five coronavirus cases confirmed in Maharashtra; Kerala put under lockdown', 'We hope anti-Covid-19 drive induces behavioural change; says BMC chief', 'As coronavirus spreads; Kochi and Delhi return fares dip to Rs 5;000', 'Coronavirus threat overshadows Holi revelry in Mumbai; worker drowns in Kalyan creek', 'Coronavirus scare in Mumbai: Schools follow Unicef norms; cancel morning assembly; eye e-learning option', 'After Pune; Thane collector invokes Disaster Management Act 2005 amid coronavirus scare', 'Coronavirus cases in Mumbai: Many schools advance break; suspend classes', 'Coronavirus scare in Mumbai: Authorities stall foreign cargo ship crew from disembarking', 'Coronavirus scare: Rs 2 lakh fake sanitisers seized in Mumbai', 'Covid-19: More Mumbai schools suspend ops; move classes online', 'Coronavirus scare: Indian students abroad hunt flats as universities clear dorms', ""Coronavirus outbreak in Mumbai: 'Quarantine wards at Kasturba Hospital filthy; strays roam around'"", ""Covid-19 scare: Mumbaikars crowd supermarkets to 'stock up' as malls empty out"", 'Coronavirus scare in Maharashtra: Students; parents breathe easy as schools; colleges shut till March 31', 'Covid-19 in Mumbai: KJ Somaiya College of Commerce and Science reschedules degree college exams', 'Rumours more virulent than corona itself', 'Covid-19 outbreak in Mumbai: Multiple suspect cases in one building? BMC can quarantine it']","[2, 0, 2, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 2, 2, 0, 1]",41.17647058823529,35.294117647058826,0.0,23.52941176470588,0.0,7,6,0,4,0
2020-03-16 00:00:00,2020-03-16 00:00:00-2020-03-22 00:00:00,"['coronavirus scare in mumbai cops ban tours in and out of city under section 144', 'Coronavirus outbreak: Mumbai businesswoman loses Rs 4 lakh in online face mask order', 'Coronavirus in Mumbai: Home quarantine for over 700 proves easier said than done', 'Coronavirus: Several Mumbai schools shift studies and projects to virtual classrooms', 'Covid-19: College; university exams in Mumbai postponed till March 31', 'Covid-19: E-papers at Kalyan', 'Coronavirus scare: Public spaces in Mumbai off-limits or open for limited hours', 'Covid-19 Impact: US Cos may require additional compliance to cover H-1B employees in their work from home policies', 'Pvt firms get infra ready to handle Covid-19 testing', 'Covid-19 outbreak: Central Railway cancels 23 long-distance trains', 'Covid-19 in Maharashtra: Prayers; discourses move online', ""Coronavirus scare: Maharashtra govt plans to allow quarantine unit in Mumbai's SevenHills Hospital"", 'Covid-19 in Mumbai: KEM Hospital to start testing; 20 new beds in Jogeshwari', 'Coronavirus scare: Avoid needless travel or will stop trains; says Maharashtra CM Uddhav Thackeray', 'Coronavirus in Mumbai: Pubs; bars closed; some eateries may shut', ""Coronavirus outbreak: KEM Hospital; Haffkine Institute to start tests today; up Mumbai's capacity to 300 samples a day"", 'Covid-19 in Maharashtra: Class X exams held with sanitisers at hand', 'Covid-19 in Maharashtra: School closure stops midday meals for kids; SC sends notice', 'Coronavirus outbreak: Mumbai prepares to quarantine 26;000 Indians coming from Gulf', 'Covid-19 scare: BMC directs nine private hospitals to start isolation wards', 'Covid-19 scare: Mumbai schools start promoting students of classes I to VIII', 'Hostels; guest houses to be used for quarantine', 'Covid-19 in Mumbai: Hostels; guest houses to be used for quarantine', 'Covid-19 outbreak: Dharavi man may face arrest for defying home quarantine', ""Coronavirus in Mumbai: 'No need for panic buying; there's enough supply'"", ""Coronavirus: 'Janata curfew' may leave few public transport options for Mumbai"", 'Bandra getting quarantine facility for Covid-19 patients as numbers increase', 'Covid-19 outbreak: Sunni leaders seek suspension of prayers at Mumbai mosques', 'Cut AC use to stall coronavirus: Maharashtra health minister to government offices', 'Coronavirus: General public not allowed in Mumbai local trains from Sunday', 'Covid-19 outbreak in Mumbai: Eight private hospitals can screen and collect swabs', 'Coronavirus in Mumbai: Five caught; sent to forced quarantine after neighbours complain to BMC; cops', ""Covid-19: Mumbaikars stay indoors as 'Janta Curfew' commences"", ""Passengers with 'home quarantine' seal offloaded from trains; BEST bus"", 'Covid-19 scare: Early negative test is not final; day 5 and 14 results key; says BMC', 'Coronavirus outbreak in Maharashtra: Now; home checks on quarantined', 'Covid-19 scare in Mumbai: No donation drives; blood in short supply']","[1, 0, 1, 2, 0, 0, 1, 2, 2, 4, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 2, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 2, 0, 1, 1]",56.75675675675676,27.027027027027028,2.7027027027027026,13.513513513513514,0.0,21,10,1,5,0
2020-03-23 00:00:00,2020-03-23 00:00:00-2020-03-29 00:00:00,"['Medical team at forefront of fight against the coronavirus', ""Mumbai: 15 who escaped quarantine camp brought back; stamped flyers breaking 'home-quarantine' warned"", 'Mumbai Bagh women pause anti-CAA protest to fight against coronavirus', 'South Mumbai diamond merchant is 2nd coronavirus victim', 'Maximum City goes into lockdown; imposes Sec 144; stops Mumbai local', 'Coronavirus outbreak: Section 144 in Mumbai till March 31', 'Coronavirus in Mumbai: BMC coordinates with city police to keep tabs on home-quarantined flyers', 'Covid-19 in Mumbai: Flight operations down from 950 to about 600 in city; only 2;000 people run operations', 'Poor public response pushed govt to declare lockdown in Mumbai', ""Coronavirus outbreak in Maharashtra: 'Now; private vehicles and autos can carry just one passenger; taxis two'"", 'BMC ropes in private firms to trace suspected cases of Covid-19; people who may need to be isolated', '12 oppose quarantine unit; MBMC files case', ""Mumbai's first corona infected couple; three-year-old among eight discharged"", 'Mumbai: 178 booked for flouting law in times of lockdown', '10 new positive coronavirus cases in Mumbai region; Maharashtra tally up 15 to 122', 'Corona-free; 44 Iran evacuees from J&K to leave navy isolation centre on Friday; Maharashtra government to decide on relocation', 'Coronavirus death in Mumbai: Two 65-year-old women without any travel history died', 'Coronavirus in Mumbai: Doctor and 2 in his family test positive; he consulted in 2 hospitals; own clinic', '289 booked in seven days for violating lockdown in Mumbai', ""Mumbai's packed chawls gear up to keep coronavirus at bay""]","[1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 4, 0, 1, 1, 2, 1, 4, 1, 0, 1]",55.00000000000001,30.0,10.0,5.0,0.0,11,6,2,1,0
2020-03-31 00:00:00,2020-03-31 00:00:00-2020-04-05 00:00:00,"['State quarantines all 1.8L outstation workers in state', 'Maharashtra: Give Covid-19 test results in 48 hrs; not 4 days; private labs told', ""Coronavirus in Mumbai: 3-day-old boy is city's youngest patient"", 'Contravening government order; Air India may roster pilots during their quarantine', 'No lockdown for packaging material for essential goods', 'IIT-Bombay to get Rs 56 crore centre to find 50 innovations against coronavirus', 'May extend lockdown; says health min; state sees 67 new cases; toll 26', 'Coronavirus: BMC to use rapid tests for health staff', 'coronavirus in mumbai latest news live updates on mumbai corona cases deaths 05 april 2020', ""Covid-19: Shah Rukh Khan's office in Khar as home quarantine"", 'Ward with tony SoBo areas second only to Worli in number of Covid-19 cases', 'BMC amps up fight against Covid-19 with mobile medical squads; home visits for swabs', 'Phase-wise removal of lockdown or extension plan?', ""Covid-19: Neighbour of Tablighis' host among 2 new Dharavi cases"", 'Owner of press with staff from Worli tests Covid-19 positive', 'Mumbai churches prepare to stream Holy Week services due to lockdown', 'covid 19 muslim ias ips officer urge community members to cooperate with health workers', ""Mumbai: Coronavirus victim's kin claim admission refusal by Kasturba hospital"", '29 new COVID-19 cases in Mumbai; Maharashtra tally climbs to 690', 'Maharashtra coronavirus tally mounts to 748; death toll 45']","[1, 2, 1, 0, 2, 2, 2, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 4]",35.0,40.0,5.0,20.0,0.0,7,8,1,4,0
